,word,meaning,pos
160,अंगारा+अंगारे+फाँक,toss hot coals about: to play with fire,verb
161,अंगारा+अंगारे+बरस,rain hot coals: to be extremely hot,verb
162,अंगारी,small cooking vessel,noun
163,अंगारी,small stove,noun
164,अंगारी,reg breadcake baked on hot coals,noun
165,अंगारी,/ə̃garī/ a small spark,noun
166,अंगी,having a body,adj
167,अंगीकरण,see sv,noun
168,अंगीकार,see sv,noun
169,अंगीकृत,see sv,noun
170,अँगीठा,goldsmith's furnace,noun
171,अंगुल,finger's length,noun
172,अंगुल,finger's breadth,noun
173,अंगुल,reg the finger,noun
174,अंगुल,big toe,noun
175,अंगुलि-छाप,fingerprint,noun
176,अंगुलि+प्रतिमुद्रा,fingerprint,noun
177,अंगुलि-मुद्रा,signet ring,noun
178,अंगुश्त,pointed out by the finger: famous,adj
179,अंगुश्तनुमा,pointed out by the finger: famous,adj
180,अंगुष्ठ,big toe,noun
181,अंगुष्ठ,thumb's breadth,noun
182,अँगूठा,big toe,noun
183,अँगूठा+चूम,grovel,verb
184,अँगूठा+चूम,toady,verb
185,अँगूठा+दिखा,gesture with the thumb in derision or defiance,verb
186,अँगूठा+दिखा,make an indecent gesture,verb
187,अँगूठा+लगा,make a thumbprint,verb
188,अँगूठा+अँगूठे+के+बल+पर+चल,walk on tiptoe,verb
189,अँगूठा+अँगूठे+तले+हो,be under the thumb,verb
190,अँगूठा+अँगूठे+पर+मार,regard as contemptible,verb
191,अँगूठी+कर,surround,verb
192,अँगूठी+कर,lay seige to,verb
193,अंगूर,scar: scab,noun
194,अंगूर+की+टट्टी,trellis for vines,noun
195,अँगूर,? ← Panj,noun
196,अँगूरी,having to do with grapes,adj
197,अँगूरी+बाग,vineyard,noun
198,अँगोछ,wipe the body with a towel,verb
199,अँगोछी,small cloth,noun
200,अँगौंगा,part of a crop set aside at threshing as an offering to a village god,verb
201,अँगौंगा,money in lieu of this,noun
202,अँगौरिया,one who borrows an employer's plough to plough his own field,verb
203,अँग्रेज़ियत,English  ways,noun
204,अँग्रेज़ियत,cultivation of the English language in India,noun
205,अँग्रेज़ी,English language,noun
206,अँग्रेज़ीदाँ,knowing English,adj
207,अँग्रेज़ीदाँ,affecting knowledge of English,noun
208,अँग्रेज़ीदाँ,or western attitudes,noun
209,अँग्रेज़ीदाँ,one who knows English,noun
210,अँग्रेज़ीपसंद,one affecting the use of English,noun
211,अँघड़ा,metal toering,noun
212,अंघ्रि,poet foot,noun
213,अंचल,border or hem at the end of a sari,noun
214,अंचल,or shawl,noun
215,अंचल,border region,noun
216,अंछर,reg a mystical or magical word or formula,noun
217,अंछर+पढ़के+मार,cast a spell,verb
218,अंजन,or an ointment,noun
219,अंजन+कर,apply a collyriu–,verb
220,अंजन+लगा,apply a collyriu–,verb
221,अंजनसार,painted with collyrium,noun
222,अंजनहारी,stye on the eye,noun
223,अंजनहारी,partic insect,noun
224,अंजन,species of grass,noun
225,अंजना,rice crop in the hills,noun
226,अंजना,name of the mother of Hanumān,noun
227,अंजना,stye on the eye,noun
228,अंजनी,or who is perfumed with sandal,noun
229,अंजनी,title of Hanumān,noun
230,अंजनी-कुमार,m,noun
231,अंजनी,stye on the eye,noun
232,अंजनी,dimin reg  a rice crop in the hills,noun
233,अंजनी,cut in September,noun
234,अंजबार,used medicinally in treating colds and haemorrhages,noun
235,अंजर-पंजर,bodily frame,noun
236,अंजर-पंजर,skeleton,noun
237,अंजर-पंजर,joints,noun
238,अंजर-पंजर,parts,noun
239,अंजर-पंजर,machine,noun
240,अंजर-पंजर+ढीले+हो,joints to be loose: to be out of order,verb
241,अंजर-पंजर+ढीले+हो,have become tired or old,verb
242,अंजलि,hollowed hands placed together and raised to the forehead,verb
243,अंजलि,or entreaty,noun
244,अंजलि,double handful,noun
245,अंजलिगत,offered in the hollowed hands,adj
246,अंजलिबद्ध,with hands hollowed,adj
247,अंजाम+पा,be finished,verb
248,अंजाम+दे,finish,verb
249,अंजाम+दे,manage,verb
250,अंजाम+दे,carry out,verb
251,अंजाम+को,finish,verb
252,अंजाम+को,manage,verb
253,अंजाम+को,carry out,verb
254,अंजीर,and its fruit,noun
255,अंजू,reg a tear,noun
256,अँजोरा,reg light,adj
257,अंट+की+संट,incoherent,adj
258,अंट+की+संट,rambling,adj
