	Unnamed: 0	word	meaning	pos
146	255	अंगीकार_4	assent_2	noun
147	257	अंगीकार_5	assent_3	verb
148	258	अंगीकार_6	accept_2	verb
149	259	अंगीकार_7	admit_1	verb
150	260	अंगीकार_8	undertake_1	verb
151	261	अंगीकार_9	promise_1	verb
152	262	अंग+कर_3	assent_4	verb
153	263	अंग+कर_4	accept_3	verb
154	264	अंग+कर_5	admit_2	verb
155	265	अंग+कर_6	undertake_2	verb
156	266	अंग+कर_7	promise_2	verb
157	268	अंगीकृत_1	accepted_1	adj
158	271	अंगड़-खंगड़_1	junk_1	adj
159	272	अंगड़-खंगड़_2	rubbish_1	adj
160	273	अंगड़-खंगड़_3	rundown_1	adj
161	274	अंगड़-खंगड़_4	dilapidated_1	adj
162	275	अंगड़-खंगड़_5	town_1	adj
163	277	अँगड़ाई+ले_1	twist_1	verb
164	278	अँगड़ाई+ले_2	stretch_1	verb
165	279	अँगड़ा_1	twist_2	verb
166	280	अँगड़ा_2	stretch_2	verb
167	281	अँगड़ाना_1	limbs_1	noun
168	283	अँगनई_1	reg_1	noun
169	284	अंगना_1	woman_1	noun
170	287	अँगरी_1	armour_1	noun
171	289	अंगलेट_2	physique_1	noun
172	291	अंगा_1	nurse_1	noun
173	292	अंगा_2	nursema_1	noun
174	297	अंगारा_1	spark_1	noun
175	298	अंगारा_2	cinder_1	noun
176	302	अंगारा_3	raging_1	noun
177	305	अंगारा+अंगारे+का+कीड़ा_1	salamander_1	noun
178	322	अंगारी_1	brazier_1	noun
179	325	अंगारी_2	scintilla_1	noun
180	327	अँगिया_2	brassiere_1	noun
181	329	अंगी_5	leading_1	adj
182	330	अंगी_6	prominent_1	adj
183	331	अंगी_7	m_2	adj
184	336	अँगीठा_1	firestand_1	noun
185	338	अँगीठी_3	brazier_2	noun
186	340	अँगीठी_4	stove_1	noun
187	344	अंगुल_3	thumb_1	noun
188	347	अंगुलि-छाप_1	fingerprint_1	noun
189	348	अंगुलि+प्रतिमुद्रा_1	fingerprint_2	noun
190	352	अंगुश्त_2	notorious_1	noun
191	353	अंगुश्त_3	vilified_1	noun
192	355	अंगुश्तनुमा_1	notorious_2	noun
193	356	अंगुश्तनुमा_2	vilified_2	noun
194	357	अंगुश्ताना_1	thimble_1	noun
195	358	अंगुश्ताना_2	ring_1	noun
196	359	अंगुष्ठ_1	thumb_2	noun
197	364	अँगूठा+चूम_1	grovel_1	verb
198	365	अँगूठा+चूम_2	toady_1	verb
199	373	अँगूठी+कर_1	surround_1	verb
200	380	अँगूर_1	sprout_2	noun
201	381	अँगूर_2	shoot_4	noun
202	383	अँगूरी+बाग_1	vineyard_1	noun
203	386	अँगोछा_2	cloth_1	noun
204	389	अँगोछी_1	towel_1	noun
205	390	अँगोट_1	EH_1	noun
206	391	अँगोरा_1	mosquito_1	noun
207	396	अँग्रेज़_1	Englishman_1	noun
208	397	अँग्रेज़िन_1	Englishwoman_1	noun
209	400	अँग्रेज़ियत_1	Anglicism_1	noun
210	401	अँग्रेज़ी_1	English_1	adj
211	402	अँग्रेज़ी_2	British_1	noun
212	403	अँग्रेज़ी_3	western_1	noun
213	411	अँग्रेज़ीपसंद_1	anglophile_1	noun
214	419	अंचल_2	transedge_1	noun
215	422	अंचल_3	tract_1	noun
216	423	अंचल_4	zone_1	noun
217	427	अंछर_1	spell_1	noun
218	428	अंछर_2	charm_1	noun
219	431	अंजन_2	lampblack_1	verb
220	433	अंजन_3	antimony_1	noun
221	436	अंजनकेश_1	blackhaired_1	adj
