	word	meaning	pos
253	अंगीकरण_3	acceptance_1	noun
254	अंगीकरण_4	acknowledgment_1	noun
255	अंगीकार_1	assent_2	noun
257	अंगीकार_2	assent_3	verb
258	अंगीकार_3	accept_2	verb
259	अंगीकार_4	admit_1	verb
260	अंगीकार_5	undertake_1	verb
261	अंगीकार_6	promise_1	verb
262	कर_1	assent_4	verb
263	कर_2	accept_3	verb
264	कर_3	admit_2	verb
265	कर_4	undertake_2	verb
266	कर_5	promise_2	verb
268	अंगीकृत_1	accepted_1	adj
271	अंगड़-खंगड़_1	junk_1	adj
272	अंगड़-खंगड़_2	rubbish_1	adj
273	अंगड़-खंगड़_3	rundown_1	adj
274	अंगड़-खंगड़_4	dilapidated_1	adj
275	अंगड़-खंगड़_5	town_1	adj
277	अँगड़ाई+ले_1	twist_1	verb
278	अँगड़ाई+ले_2	stretch_1	verb
279	अँगड़ा_1	twist_2	verb
280	अँगड़ा_2	stretch_2	verb
281	अँगड़ाना_1	limbs_1	noun
283	अँगनई_1	reg_1	noun
284	अंगना_1	woman_1	noun
287	अँगरी_1	armour_1	noun
289	अंगलेट_1	physique_1	noun
291	अंगा_1	nurse_1	noun
292	अंगा_2	nursema_1	noun
297	अंगारा_1	spark_1	noun
298	अंगारा_2	cinder_1	noun
302	अंगारा_3	raging_1	noun
305	अंगारे+का+कीड़ा_1	salamander_1	noun
322	अंगारी_1	brazier_1	noun
325	अंगारी_2	scintilla_1	noun
326	अँगिया_1	bodice_1	noun
327	अँगिया_2	brassiere_1	noun
329	अंगी_1	leading_1	adj
330	अंगी_2	prominent_1	adj
331	अंगी_3	m_2	adj
336	अँगीठा_1	firestand_1	noun
338	अँगीठी_1	brazier_2	noun
339	अँगीठी_2	grate_1	noun
340	अँगीठी_3	stove_1	noun
344	अंगुल_1	thumb_1	noun
347	अंगुलि-छाप_1	fingerprint_1	noun
348	प्रतिमुद्रा_1	fingerprint_2	noun
352	अंगुश्त_1	notorious_1	noun
353	अंगुश्त_2	vilified_1	noun
355	अंगुश्तनुमा_1	notorious_2	noun
356	अंगुश्तनुमा_2	vilified_2	noun
357	अंगुश्ताना_1	thimble_1	noun
358	अंगुश्ताना_2	ring_1	noun
359	अंगुष्ठ_1	thumb_2	noun
362	अँगूठा_1	thumb_3	noun
364	अँगूठा+चूम_1	grovel_1	verb
365	अँगूठा+चूम_2	toady_1	verb
372	अँगूठी_1	ring_2	noun
373	अँगूठी+कर_1	surround_1	verb
375	अंगूर_1	grape_1	noun
380	अँगूर_1	sprout_4	noun
381	अँगूर_2	shoot_4	noun
383	अँगूरी+बाग_1	vineyard_1	noun
386	अँगोछा_1	cloth_1	noun
387	अँगोछा_2	towel_1	noun
389	अँगोछी_1	towel_2	noun
390	अँगोट_1	EH_1	noun
391	अँगोरा_1	mosquito_1	noun
396	अँग्रेज़_1	Englishman_1	noun
397	अँग्रेज़िन_1	Englishwoman_1	noun
400	अँग्रेज़ियत_1	Anglicism_1	noun
401	अँग्रेज़ी_1	English_1	adj
402	अँग्रेज़ी_2	British_1	noun
403	अँग्रेज़ी_3	western_1	noun
411	अँग्रेज़ीपसंद_1	anglophile_1	noun
419	अंचल_1	transedge_1	noun
421	अंचल_2	region_1	noun
422	अंचल_3	tract_1	noun
423	अंचल_4	zone_1	noun
427	अंछर_1	spell_1	noun
428	अंछर_2	charm_1	noun
431	अंजन_1	lampblack_1	verb
433	अंजन_2	antimony_1	noun
436	अंजनकेश_1	blackhaired_1	adj
446	अंजनी_1	woman_2	noun
450	अंजनी-कुमार_1	m_3	noun
457	अंजर-पंजर_1	skeleton_1	noun
458	अंजर-पंजर_2	joints_1	noun
459	अंजर-पंजर_3	parts_1	noun
460	अंजर-पंजर_4	machine_1	noun
464	अंजरा_1	nettle_1	noun
472	अंजाम_1	end_1	noun
473	अंजाम_2	completion_1	noun
474	अंजाम_3	conclusion_1	noun
475	अंजाम_4	result_1	noun
476	अंजाम_5	upshot_1	noun
479	अंजाम+दे_1	finish_1	verb
480	अंजाम+दे_2	manage_1	verb
482	अंजाम+को_1	finish_2	verb
483	अंजाम+को_2	manage_2	verb
485	अंजीर_1	figtree_1	noun
487	अंजुमन_1	society_1	noun
488	अंजुमन_2	assembly_1	noun
492	अँजोरा_1	bright_1	adj
493	अंझा_1	interval_1	noun
494	अंझा_2	postponement_1	noun
495	अंट_1	twist_3	noun
496	अंट_2	entanglement_1	noun
497	अंट+की+संट_1	incoherent_1	adj
498	अंट+की+संट_2	rambling_1	adj
499	अंट+की+संट_3	inappropriate_1	adj
502	अँट_1	fit_1	verb
505	अँट_2	suffice_1	verb
508	अँटवा_1	cram_1	verb
510	अंटा_1	ball_1	noun
511	अंटा_2	marble_1	noun
512	अंटा_3	pill_1	noun
513	अंटा_4	transbilliards_1	noun
519	अँटिया_1	bundle_1	noun
520	अँटिया_2	bunch_1	noun
521	अँटिया_3	handful_1	noun
525	अंटी_1	24_1	noun
528	अंटी+कर_1	wind_1	verb
533	अंटी+कर_2	pilfer_1	verb
539	अँठला_1	stutter_1	verb
540	अँठली_1	dimin_1	noun
541	अंड_1	egg_1	noun
542	अंड_2	testicle_1	noun
546	अंड-कटाह_1	world_1	noun
547	अंड-कोश_1	scrotum_1	noun
548	अंड-कोश_2	muskbag_1	noun
549	अंड-कोश_3	transrupture_1	noun
550	अंड-कोश_4	hernia_1	noun
551	कोष_1	scrotum_2	noun
552	कोष_2	muskbag_2	noun
553	कोष_3	transrupture_2	noun
554	कोष_4	hernia_2	noun
555	अंडज_1	eggborn_1	adj
557	अंडज_2	fish_1	adj
558	अंडज_3	birds_1	adj
560	अंड-वृत्त_1	ellipse_1	noun
561	अंडाकार_1	eggshaped_1	noun
562	अंडाकार_2	oval_1	noun
563	अंडाकार_3	elliptical_1	noun
564	अंडाकृति_1	oval_2	noun
565	अंडाकृति_2	ellipse_2	noun
566	अंडाशय_1	ovaries_1	noun
568	अंड-बंड_1	entangled_1	adj
569	अंड-बंड_2	incoherent_2	adj
570	अंडा_1	egg_2	noun
583	अंडा+से_1	brood_1	verb
585	अंडा+सेना_1	stayathome_1	noun
586	अंडे+का+शहज़ादा_1	greenhorn_1	noun
587	अंडा-सा_1	egglike_1	adj
588	अंडा-सा_2	oval_3	adj
589	अंडा-सा_3	elliptical_2	adj
591	अंडे-बच्चे_1	chicks_1	noun
592	अंडे-बच्चे_2	brood_2	noun
601	अंतःकरण_1	soul_1	noun
602	अंतःकरण_2	mind_1	noun
603	अंतःकरण_3	conscience_1	noun
604	अंतःकालीन_1	provisional_1	adj
605	अंतःकालीन_2	temporary_1	adj
607	अंतःक्षेत्रीय_1	interregional_1	adj
610	अंतःपुर_1	house_1	noun
612	अंतःप्रत्यय_1	m_4	noun
613	अंतःसलिल_1	subterranean_1	adj
617	अंतःस्थित_1	internal_1	adj
618	अंतःस्थित_2	medial_1	adj
621	अंत_1	end_2	noun
622	अंत_2	completion_2	noun
623	अंत_3	conclusion_2	noun
624	अंत_4	outcome_1	noun
625	अंत_5	result_2	noun
626	अंत_6	limit_1	noun
627	अंत_7	boundary_1	noun
629	अंत_8	outskirts_1	noun
631	अंत_9	death_1	noun
632	अंत_10	destruction_1	noun
634	अंत_11	essence_1	noun
635	अंत_12	soul_2	noun
636	अंत_13	heart_1	noun
637	अंत_14	mind_2	noun
639	अंत_15	secret_1	noun
641	अंत+कर_1	complete_1	verb
643	अंत+का_1	complete_2	verb
647	अंत+में_1	finally_1	adv
649	अंत+ले_1	worry_1	verb
650	अंत+ले_2	harass_1	verb
652	अंत+का_2	worry_2	verb
653	अंत+का_3	harass_2	verb
657	अंत+हो+जा_1	die_1	verb
659	अंत-कर्म_1	death_2	noun
660	अंत-कर्म_2	destruction_2	noun
666	अंत-गति_1	decease_1	noun
667	अंत-गति_2	death_3	noun
669	अंतज_1	m_5	adj
670	अंतत_1	finally_2	adv
671	अंतत_2	inside_1	adv
674	अंततोगत्वा_1	finally_3	adv
677	अँतड़ी_1	entrails_1	noun
678	अँतड़ी_2	vitals_1	noun
693	अंतर्-_1	interior_1	noun
694	अंतर्-_2	inner_1	noun
695	अंतर्-_3	internal_2	noun
696	अंतर्-_4	intermediate_1	noun
697	अंतर्-_5	within_1	noun
698	अंतर्-_6	among_1	noun
699	अंतर्-_7	inter_1	noun
700	अंतरंग_1	internal_3	adj
701	अंतरंग_2	inner_2	adj
702	अंतरंग_3	close_1	adj
703	अंतरंग_4	intimate_1	adj
705	अंतरंग_5	subsidiary_1	adj
706	अंतरंग_6	heart_2	adj
707	अंतरंग_7	relative_1	adj
710	अंतरात्मा_1	spirit_1	noun
711	अंतरायण_1	internment_1	noun
713	अंतराल_1	interval_2	adj
714	अंतराल_2	interior_2	adj
715	अंतराल_3	internal_4	adj
716	अंतराल_4	central_1	adj
717	अंतरीप_1	island_1	noun
718	अंतरीप_2	promontory_1	noun
719	अंतरीप_3	cape_1	noun
720	अंतरीप_4	peninsula_1	noun
722	अंतर्गत_1	internal_5	adj
723	अंतर्गत_2	innermost_1	adj
724	अंतर्गत_3	hidden_1	adj
725	अंतर्गत_4	included_1	adj
726	अंतर्गत_5	ppn_1	adj
727	अंतर्गत˚गति_1	mental_1	noun
730	अंतर्ग्रस्त_1	involved_1	adj
731	अंतर्ग्रस्त_2	concerned_1	adj
733	अंतर्जात_1	innate_1	adj
734	अंतर्जात_2	endogamous_1	adj
735	अंतर्जात˚ईय_1	international_1	adj
736	अंतर्जात˚ईय_2	intercaste_1	adj
737	अंतर्ज्ञान_1	intuition_1	noun
739	अंतर्ज्वाला_1	remorse_1	noun
741	अंतर्दर्शी_1	introspective_1	adj
743	अंतर्दाह_1	remorse_2	noun
744	अंतर्दाह_2	heat_2	noun
747	अंतर्देशीय_1	inland_1	adj
748	अंतर्देशीय_2	internal_6	adj
749	अंतर्देशीय_3	domestic_1	adj
752	अंतर्द्वंद्व_1	state_1	noun
755	अंतर्धान_1	disappearance_1	adj
756	अंतर्धान_2	concealment_1	adj
757	अंतर्धान_3	disappeared_1	adj
758	अंतर्धान_4	secret_2	adj
761	अंतर्ध्वस_1	sabotage_1	noun
765	अंतर्निष्ठ_1	proper_1	noun
766	अंतर्निविष्ट_1	permeated_1	adj
768	अंतर्निहित_1	engulfed_1	adj
769	अंतर्निहित_2	hidden_2	adj
770	अंतर्पट_1	covering_1	noun
771	अंतर्पट_2	screen_1	noun
772	अंतर्पट_3	curtain_1	noun
773	अंतर्पत्रण_1	interleaving_1	noun
775	अंतर्बोध_1	intuition_2	noun
776	अंतर्भाव_1	inclusion_1	noun
777	अंतर्भाव_2	absorption_1	noun
781	अंतर्भाव˚ना˚भावित_1	included_2	adj
782	अंतर्भाव˚ना˚भावित_2	assimilated_2	adj
784	अंतर्भुक्त_1	1_2	adj
786	अंतर्भूत_1	included_3	adj
787	अंतर्भूत_2	internal_7	adj
788	अंतर्भेदी_1	penetrating_1	adj
791	अंतर्मन˚मनन_1	cogitation_1	noun
792	अंतर्मन˚मनन˚मना_1	preoccupied_1	adj
793	अंतर्मन˚मनन˚मना_2	dejected_1	adj
795	अंतर्मुख_1	introspective_2	adj
800	अंतर्राज्यिक_1	interstate_1	adj
801	अंतर्राज्यिक˚राज्यीय_1	interstate_2	adj
802	अंतर्राज्यिक˚राज्यीय_2	international_2	adj
803	अंतर्राराष्ट्रीय_1	international_3	adj
804	अंतर्लपिका_1	riddle_1	noun
806	अंतर्वर्ती_1	inner_3	adj
807	अंतर्वर्ती_2	internal_8	adj
808	अंतर्वर्ती_3	included_4	adj
809	अंतर्वर्ती_4	intermediate_2	adj
810	अंतर्वर्ती˚वर्तीय_1	temporary_2	adj
811	अंतर्वर्ती˚वर्तीय_2	provisional_2	adj
812	अंतर्वस्तु_1	contents_1	noun
813	अंतर्वस्तु_2	substance_1	noun
814	अंतर्वासन_1	internment_2	noun
815	अंतर्वासन˚-वासित_1	interned_1	adj
817	अंतर्विकास_1	evolution_1	noun
824	अंतर्वेशन_1	interpolation_1	noun
825	अंतर्वेशन˚-वेशित_1	interpolated_1	adj
827	अंतर्व्यापी_1	inner_4	adj
828	अंतर्हित_1	disappeared_2	adj
829	अंतर्हित_2	concealed_1	adj
830	अंतर्हित_3	secret_3	adj
831	अंतर_1	interior_3	noun
832	अंतर_2	middle_1	noun
833	अंतर_3	midst_1	noun
834	अंतर_4	soul_3	noun
835	अंतर_5	mind_3	noun
836	अंतर_6	heart_3	noun
837	अंतर_7	mystery_1	noun
838	अंतर_8	secret_4	noun
839	अंतर_9	property_1	noun
840	अंतर_10	peculiarity_1	noun
842	अंतर_11	distance_1	noun
843	अंतर_12	separation_1	noun
844	अंतर_13	gap_1	noun
845	अंतर_14	period_1	noun
846	अंतर_15	pause_1	noun
847	अंतर_16	stop_1	noun
849	अंतर_17	distinction_1	noun
851	अंतर+कर_1	separate_1	verb
852	अंतर+कर_2	remove_1	verb
853	अंतर+कर_3	conceal_1	verb
855	अंतरतम_1	nearest_1	adj
856	अंतरतम_2	intimate_2	adj
858	अंतरपट_1	curtain_2	noun
859	अंतरपट_2	screen_2	noun
863	अंतरविरोध_1	antagonism_1	noun
864	अंतरस्थ_1	internal_9	adj
865	अंतरावरोध_1	interception_1	noun
866	अंतरावरोध˚इत_1	intercepted_1	adj
867	अंतरोन्मुख_1	introspective_3	adj
868	अंतरण_1	spacing_1	noun
869	अंतरण_2	displacement_1	noun
870	अंतरण_3	transference_1	noun
872	अंतरण_4	transfer_1	verb
876	अंतरा_1	intermediate_3	adj
877	अंतरा_2	intermittent_1	adj
878	अंतरा_3	adv_1	adj
886	अंतरिक्ष_1	cosmos_1	adj
887	अंतरिक्ष_2	sky_1	adj
888	अंतरिक्ष_3	heavens_1	adj
889	अंतरिक्ष_4	transinvisible_1	adj
890	अंतरिक्ष_5	vanished_1	adj
891	अंतरिक्ष-मंडल_1	universe_1	noun
892	अंतरिक्ष-यात्री_1	astronaut_1	noun
893	अंतरिक्ष-यान_1	spacecraft_1	noun
894	अंतरिक्ष-विज्ञान_1	meteorology_1	noun
895	अंतरिक्ष-विज्ञान˚-वैज्ञानिक_1	meteorologist_1	noun
896	अंतरित_1	interior_4	adj
897	अंतरित_2	hidden_3	adj
898	अंतरित_3	shifted_1	adj
899	अंतरित_4	transferred_1	adj
900	अंतरिम_1	interim_1	adj
902	अंतरीय_1	internal_10	adj
903	अंतरीय_2	undergarment_1	adj
905	अँतरौटा_1	petticoat_1	noun
906	अंतश्-_1	preinner_1	noun
909	अंतस्-_1	preinner_2	noun
910	अंतस्तप्त_1	heated_1	adj
912	अंतस्तल_1	depth_1	noun
913	अंतस्तल_2	base_1	noun
915	अंतस्तल_3	soul_4	noun
916	अंतस्तल˚ई_1	deepseated_1	adj
917	अंतस्तल˚ई_2	inner_5	adj
923	अंतिक_1	near_1	adj
924	अंतिक_2	neighbour_1	adj
925	अंतिम_1	last_1	adj
926	अंतिम_2	final_1	adj
927	अंतिम_3	ultimate_1	adj
928	अंते_1	elsewhere_1	adv
930	अंत्य_1	last_2	adj
931	अंत्य_2	final_2	adj
932	अंत्य_3	lowest_1	adj
933	अंत्य_4	state_2	adj
937	अंत्यज_1	untouchable_1	adj
943	अंत्र_1	intestines_1	noun
944	अंदर_1	within_2	noun
945	अंदर_2	inside_2	noun
946	अंदर_3	within_3	noun
947	अंदर_4	inside_3	noun
949	अंदर_5	under_1	noun
950	अंदर_6	within_4	noun
954	अंदर+कर_1	insert_1	verb
955	अंदर+का_1	inner_6	adj
956	अंदर+का_2	internal_11	adj
957	अंदर+का_3	hidden_4	adj
958	अंदर+का_4	secret_5	adj
959	अंदरून_1	interior_5	noun
961	अंदरुनी_1	interior_6	noun
962	अंदरुनी_2	internal_12	noun
963	अंदरुनी_3	intrinsic_1	noun
964	अंदरुनी_4	spiritual_1	noun
966	अंदाज़_1	conjecture_1	noun
967	अंदाज़_2	guess_1	noun
968	अंदाज़_3	manner_1	noun
969	अंदाज़_4	style_1	noun
970	अंदाज़_5	gait_1	noun
971	अंदाज़_6	gestures_1	noun
972	अंदाज़_7	affectation_1	noun
973	अंदाज़+कर_1	estimate_1	verb
974	अंदाज़+कर_2	evaluate_1	verb
975	अंदाज़+कर_3	conjecture_2	verb
976	अंदाज़+लगा_1	estimate_2	verb
977	अंदाज़+लगा_2	evaluate_2	verb
978	अंदाज़+लगा_3	conjecture_3	verb
979	अंदाज़+का_1	estimate_3	verb
980	अंदाज़+का_2	evaluate_3	verb
981	अंदाज़+का_3	conjecture_4	verb
982	अंदाज़+उड़ा_1	imitate_1	verb
983	अंदाज़+उड़ा_2	mimic_1	verb
984	अंदाज़+से_1	approximately_1	adv
986	अंदाज़-पट्टी_1	f_2	noun
987	अंदाज़-पीटी_1	f_3	noun
988	अंदाज़न_1	approximately_2	adv
991	अंदेशा_1	consideration_1	noun
992	अंदेशा_2	reflection_1	noun
994	अंदेशा_3	concern_1	noun
995	अंदेशा_4	misgiving_1	noun
996	अंदेशा_5	apprehension_1	noun
997	अंदेशा_6	uncertainty_1	noun
1000	अंदेशा+करना_1	about_1	noun
1001	अंदेशामंद_1	anxious_1	adj
1002	अंदेशामंद_2	concerned_2	noun
1003	अंदोह_1	grief_1	noun
1004	अंदोह_2	anxiety_1	noun
1005	अंदोह_3	trouble_1	noun
1006	अंध_1	blind_1	adj
1007	अंध_2	benighted_1	adj
1008	अंध_3	ignorant_1	adj
1011	अंध_4	darkness_1	adj
1012	अंधकार_1	see_2	noun
1013	अंध-कूप_1	overgrown_1	noun
1017	अंध-कूप_2	blackout_1	noun
1018	अंध-कूप˚ता_1	benightedness_1	noun
1019	अंध-खोपड़ी_1	blockheaded_1	adj
1024	अंध-भक्त_1	fanatic_1	noun
1026	अंध-प्रज्ञा_1	intuition_3	noun
1027	अंध-विश्वास_1	superstition_1	noun
1028	अंध-विश्वास˚ई_1	superstitious_1	adj
1030	अंधकार_2	darkness_2	noun
1031	अंधकार_3	benightedness_2	noun
1032	अंधकारमय_1	dark_1	adj
1035	अंधता_1	blindness_1	noun
1036	अंधता_2	benightedness_3	noun
1037	अंधता_3	folly_1	noun
1038	अँधला_1	reg_2	adj
1039	अंधा_1	blind_2	noun
1040	अंधा_2	benighted_2	noun
1041	अंधा_3	foolish_1	noun
1042	अंधा_4	hoodwinked_1	noun
1043	अंधा_5	deceived_1	noun
1044	अंधा_6	dim_1	noun
1045	अंधा_7	room_1	noun
1050	अंधा+कर_1	blind_3	verb
1051	अंधा+कर_2	blindfold_1	verb
1052	अंधा+कर_3	trick_1	verb
1053	अंधा+कर_4	deceive_1	verb
1057	अंधा+दरबार_1	misgovernment_1	noun
1063	अंधा+हो_1	connive_1	verb
1067	अंधा-कुप्प_1	pitchblack_1	adj
1068	अंधा-कुप्प_2	blackout_2	adj
1069	अंधा-धुंध_1	excessive_1	adj
1070	अंधा-धुंध_2	unbridled_1	adj
1071	अंधा-धुंध_3	violent_1	adj
1072	अंधा-धुंध_4	wild_1	adj
1073	अंधा-धुंध_5	headlong_1	adj
1074	अंधा-धुंध_6	rash_1	adj
1077	अंधा-धुंध_7	rashness_1	adj
1078	अंधा-धुंध_8	violence_1	adj
1079	अंधा-धुंध_9	commotion_1	adj
1081	अंधाधुंध+जमा_1	belabour_1	verb
1083	पर_1	belabour_2	verb
1087	अंधापन_1	blindness_2	noun
1088	अंधापन_2	benightedness_4	noun
1089	अंधापन_3	folly_2	noun
1090	अंधापन_4	darkness_3	noun
1091	अंधापन_5	dimness_1	noun
1094	अँधियारी_1	darkness_4	noun
1095	अँधियारी_2	storm_1	noun
1097	अँधियाव_1	reg_3	noun
1099	अँधेर_1	injustice_1	noun
1100	अँधेर_2	lawlessness_1	noun
1101	अँधेर_3	misrule_1	noun
1102	अँधेर_4	disorder_1	noun
1103	अँधेर_5	violence_2	noun
1106	अँधेर-खाता_1	irregularity_1	noun
1111	अँधेरगर्दी_1	2_1	noun
1113	अँधेरा_1	dark_2	adj
1114	अँधेरा_2	dim_2	noun
1115	अँधेरा_3	darkness_5	noun
1116	अँधेरा_4	shadow_1	noun
1117	अँधेरा_5	haze_1	noun
1118	अँधेरा_6	mist_1	noun
1120	अँधेरा+कर_1	darken_1	verb
1121	अँधेरा+कर_2	overshadow_1	verb
1122	अँधेरा+कर_3	extinguish_1	verb
1123	अँधेरी+कोठरी_1	cell_1	noun
1135	अँधेरी_1	darkness_6	noun
1136	अँधेरी_2	obscurity_1	noun
1138	अँधेरी_3	storm_2	noun
1139	अँधेरी_4	blinkers_1	noun
1142	अँधेरी+दे_1	blindfold_2	verb
1144	अँधेरी+दे_2	hoodwink_1	verb
1145	अँधेरी+डाल_1	blindfold_3	verb
1147	अँधेरी+डाल_2	hoodwink_2	verb
1150	अंबक_1	eye_1	noun
1152	अंबर_1	covering_2	noun
1153	अंबर_2	clothing_1	noun
1154	अंबर_3	sky_2	noun
1155	अंबर_4	atmosphere_1	noun
1156	अंबर_5	clouds_1	noun
1160	अंबर_6	amber_1	noun
1161	अंबर_7	perfume_1	noun
1162	अंबर_8	ambergris_1	noun
1165	अँबराई_1	reg_4	noun
1167	अंबरी_1	ashcoloured_1	noun
1168	अंबरी_2	fragrant_1	noun
1170	अंबा_1	mother_1	noun
1172	अंबार_1	heap_1	noun
1173	अंबार_2	pile_1	noun
1174	अंबार_3	store_1	noun
1175	अंबार_4	storehouse_1	noun
1176	अंबार_5	granary_1	noun
1180	अँबास_1	rinse_1	verb
1181	अंबिका_1	mother_2	noun
1185	अंबु_1	water_1	noun
